algorithm,search,guess,Zeros,Execution Timemin,Execution Timemax,Execution Timemean,Execution Timecount,Guessesmin,Guessesmax,Guessesmean,Guessescount,Backtracksmin,Backtracksmax,Backtracksmean,Backtrackscount
backtracking,byRow,Sequential,36,0.006557,0.007979,0.007051833,3,39,132,75,3,3,96,39,3
backtracking,byRow,Sequential,37,0.006386,0.0077701,0.006899291,11,42,113,61.90909091,11,5,76,24.90909091,11
backtracking,byRow,Sequential,38,0.0064071,0.01449,0.007495359,22,39,637,107.6818182,22,1,599,69.68181818,22
backtracking,byRow,Sequential,39,0.0062022,0.0167875,0.007142707,67,39,733,77.94029851,67,0,694,38.94029851,67
backtracking,byRow,Sequential,40,0.0062424,0.0118896,0.007196975,109,40,457,86.88073394,109,0,417,46.88073394,109
backtracking,byRow,Sequential,41,0.006255,0.0204769,0.007679507,127,41,910,121.8110236,127,0,869,80.81102362,127
backtracking,byRow,Sequential,42,0.0061468,0.0235135,0.007832867,125,42,1232,132.928,125,0,1190,90.928,125
backtracking,byRow,Sequential,43,0.006259,0.0212779,0.00798121,140,43,1050,142.6285714,140,0,1007,99.62857143,140
backtracking,byRow,Sequential,44,0.0061834,0.035738,0.008551602,111,44,2223,175.1081081,111,0,2179,131.1081081,111
backtracking,byRow,Sequential,45,0.0063499,0.069346,0.008756417,175,45,4418,200.4228571,175,0,4373,155.4228571,175
backtracking,byRow,Sequential,46,0.0063832,0.0766357,0.010195236,110,46,5291,299.0363636,110,0,5245,253.0363636,110
backtracking,byRow,Random,36,0.007734,0.0086736,0.008174833,3,55,95,73.66666667,3,19,59,37.66666667,3
backtracking,byRow,Random,37,0.0063737,0.0129698,0.0083808,11,47,159,74.45454545,11,10,122,37.45454545,11
backtracking,byRow,Random,38,0.0063662,0.0163231,0.008683745,22,43,416,120.5909091,22,5,378,82.59090909,22
backtracking,byRow,Random,39,0.0065052,0.0159215,0.008602204,67,43,375,108.1343284,67,4,336,69.13432836,67
backtracking,byRow,Random,40,0.0066418,0.0291687,0.009084802,109,40,970,140.0825688,109,0,930,100.0825688,109
backtracking,byRow,Random,41,0.0065282,0.0598103,0.011286224,127,46,2269,238.6456693,127,5,2228,197.6456693,127
backtracking,byRow,Random,42,0.0067015,0.031452,0.01116148,125,45,1258,223.144,125,3,1216,181.144,125
backtracking,byRow,Random,43,0.0068882,0.0615798,0.012664679,140,45,2344,278.0357143,140,2,2301,235.0357143,140
backtracking,byRow,Random,44,0.0067238,0.0760637,0.014227923,111,49,3029,343.0540541,111,5,2985,299.0540541,111
backtracking,byRow,Random,45,0.0069411,0.1460148,0.014602122,175,53,5878,374.1314286,175,8,5833,329.1314286,175
backtracking,byRow,Random,46,0.006764,0.0912545,0.017266089,110,51,4060,500.2090909,110,5,4014,454.2090909,110
backtracking,byColumn,Sequential,36,0.0063408,0.0068414,0.006537133,3,37,59,47.66666667,3,1,23,11.66666667,3
backtracking,byColumn,Sequential,37,0.0061062,0.008074,0.006564636,11,38,89,49.36363636,11,1,52,12.36363636,11
backtracking,byColumn,Sequential,38,0.005977,0.0090725,0.007046168,22,39,112,59.54545455,22,1,74,21.54545455,22
backtracking,byColumn,Sequential,39,0.0060425,0.012514,0.007228696,67,39,243,66.64179104,67,0,204,27.64179104,67
backtracking,byColumn,Sequential,40,0.0061212,0.0148135,0.007709688,109,40,655,89.81651376,109,0,615,49.81651376,109
backtracking,byColumn,Sequential,41,0.0060395,0.0234482,0.007830046,127,41,744,91.09448819,127,0,703,50.09448819,127
backtracking,byColumn,Sequential,42,0.0059409,0.0295412,0.008084707,125,42,1244,106.728,125,0,1202,64.728,125
backtracking,byColumn,Sequential,43,0.006069,0.024024,0.008317584,140,43,1027,118.6714286,140,0,984,75.67142857,140
backtracking,byColumn,Sequential,44,0.005985,0.0192416,0.008104159,111,45,796,110.7927928,111,1,752,66.79279279,111
backtracking,byColumn,Sequential,45,0.0060548,0.0306091,0.008534762,175,45,1574,149.6914286,175,0,1529,104.6914286,175
backtracking,byColumn,Sequential,46,0.0061484,0.0784325,0.009642487,110,48,4399,214.3,110,2,4353,168.3,110
backtracking,byColumn,Random,36,0.0069524,0.0086334,0.0075288,3,43,70,56,3,7,34,20,3
backtracking,byColumn,Random,37,0.0069437,0.015113,0.009421009,11,38,317,99.54545455,11,1,280,62.54545455,11
backtracking,byColumn,Random,38,0.0066994,0.0143165,0.008529627,22,53,284,110.2272727,22,15,246,72.22727273,22
backtracking,byColumn,Random,39,0.0063467,0.0193402,0.008797203,67,42,372,106.9701493,67,3,333,67.97014925,67
backtracking,byColumn,Random,40,0.0063958,0.0280726,0.010009546,109,40,1106,166.1926606,109,0,1066,126.1926606,109
backtracking,byColumn,Random,41,0.0062077,0.0373401,0.010220172,127,42,1451,177.8110236,127,1,1410,136.8110236,127
backtracking,byColumn,Random,42,0.0063818,0.0338491,0.010720767,125,44,1236,196.184,125,2,1194,154.184,125
backtracking,byColumn,Random,43,0.0064685,0.0350865,0.012313134,140,45,1380,256.5214286,140,2,1337,213.5214286,140
backtracking,byColumn,Random,44,0.006725,0.0686848,0.013085722,111,44,2817,293.6666667,111,0,2773,249.6666667,111
backtracking,byColumn,Random,45,0.006835,0.1065862,0.014666346,175,48,4178,375.88,175,3,4133,330.88,175
backtracking,byColumn,Random,46,0.0067862,0.3495471,0.018729177,110,61,14875,548.0727273,110,15,14829,502.0727273,110
backtracking,Random,Sequential,36,0.0719174,0.0844254,0.077351767,3,102,792,470.3333333,3,66,756,434.3333333,3
backtracking,Random,Sequential,37,0.0675992,0.1613644,0.089830945,11,44,3795,922.6363636,11,7,3758,885.6363636,11
backtracking,Random,Sequential,38,0.0660934,0.3749272,0.103601845,22,127,11447,1383.363636,22,89,11409,1345.363636,22
backtracking,Random,Sequential,39,0.0710684,0.3296563,0.13035046,67,142,9875,2412.522388,67,103,9836,2373.522388,67
backtracking,Random,Sequential,40,0.0652112,1.0677609,0.178005502,109,42,38126,4104.724771,109,2,38086,4064.724771,109
backtracking,Random,Sequential,41,0.0673691,2.7244014,0.262203654,127,42,88905,7163.055118,127,1,88864,7122.055118,127
backtracking,Random,Sequential,42,0.0663767,2.0648787,0.33413691,125,191,69049,9587.808,125,149,69007,9545.808,125
backtracking,Random,Sequential,43,0.0690976,3.4374864,0.526480183,140,279,137785,17622.35,140,236,137742,17579.35,140
backtracking,Random,Sequential,44,0.0862506,10.1671012,1.028336559,111,834,401710,36467.7027,111,790,401666,36423.7027,111
backtracking,Random,Sequential,45,0.0751202,8.8196182,1.202834482,175,438,333234,44025.02286,175,393,333189,43980.02286,175
backtracking,Random,Sequential,46,0.0868689,27.3806488,2.679841713,110,277,1107520,99568.71818,110,231,1107474,99522.71818,110
backtracking,Random,Random,36,0.0649615,0.1736605,0.123590167,3,85,3165,1148.666667,3,49,3129,1112.666667,3
backtracking,Random,Random,37,0.0671359,0.163216,0.097702091,11,187,3306,979.6363636,11,150,3269,942.6363636,11
backtracking,Random,Random,38,0.072885,0.4647645,0.132907609,22,95,11898,2090.090909,22,57,11860,2052.090909,22
backtracking,Random,Random,39,0.063563,0.4695845,0.162440928,67,111,13125,2956.373134,67,72,13086,2917.373134,67
backtracking,Random,Random,40,0.0676164,1.1453416,0.209197813,109,189,34216,4330.752294,109,149,34176,4290.752294,109
backtracking,Random,Random,41,0.0671927,4.7582276,0.309126591,127,65,140627,7289.590551,127,24,140586,7248.590551,127
backtracking,Random,Random,42,0.0647269,2.3616102,0.421030206,125,136,69141,10573.008,125,94,69099,10531.008,125
backtracking,Random,Random,43,0.0641226,2.8392009,0.52501443,140,93,88296,14615.28571,140,50,88253,14572.28571,140
backtracking,Random,Random,44,0.1026854,12.34618,1.045599956,111,1318,423292,31684.04505,111,1274,423248,31640.04505,111
backtracking,Random,Random,45,0.0783833,11.6146611,1.571196577,175,320,370554,46732.02857,175,275,370509,46687.02857,175
backtracking,Random,Random,46,0.0936418,35.1716845,3.611422303,110,1036,1133311,111868.0909,110,990,1133265,111822.0909,110
backtracking,bySequentialBox,Sequential,36,0.0134324,0.0173858,0.015113933,3,40,120,74.66666667,3,4,84,38.66666667,3
backtracking,bySequentialBox,Sequential,37,0.0129673,0.0212158,0.014859409,11,41,110,60.09090909,11,4,73,23.09090909,11
backtracking,bySequentialBox,Sequential,38,0.0127708,0.0201586,0.014897736,22,40,440,102.9090909,22,2,402,64.90909091,22
backtracking,bySequentialBox,Sequential,39,0.0125251,0.0260545,0.014635834,67,39,821,84.49253731,67,0,782,45.49253731,67
backtracking,bySequentialBox,Sequential,40,0.0126575,0.0244528,0.014707877,109,40,347,83.55963303,109,0,307,43.55963303,109
backtracking,bySequentialBox,Sequential,41,0.0124105,0.0266898,0.015021614,127,41,685,114.7086614,127,0,644,73.70866142,127
backtracking,bySequentialBox,Sequential,42,0.0126688,0.0388892,0.015658925,125,42,1497,137.656,125,0,1455,95.656,125
backtracking,bySequentialBox,Sequential,43,0.0126478,0.0315961,0.015439671,140,43,776,128.2357143,140,0,733,85.23571429,140
backtracking,bySequentialBox,Sequential,44,0.0126726,0.032832,0.01562378,111,44,1264,156.1081081,111,0,1220,112.1081081,111
backtracking,bySequentialBox,Sequential,45,0.0125487,0.0780809,0.016786268,175,45,3512,213.9028571,175,0,3467,168.9028571,175
backtracking,bySequentialBox,Sequential,46,0.012677,0.1844165,0.019407755,110,46,9146,347.1090909,110,0,9100,301.1090909,110
backtracking,bySequentialBox,Random,36,0.0140795,0.0185833,0.015648633,3,72,130,92,3,36,94,56,3
backtracking,bySequentialBox,Random,37,0.0133417,0.0205434,0.015326964,11,42,283,78.18181818,11,5,246,41.18181818,11
backtracking,bySequentialBox,Random,38,0.0130431,0.0250415,0.016298395,22,43,289,117.0454545,22,5,251,79.04545455,22
backtracking,bySequentialBox,Random,39,0.0131191,0.0365779,0.016984655,67,40,1029,144.8208955,67,1,990,105.8208955,67
backtracking,bySequentialBox,Random,40,0.0128573,0.0776433,0.017350894,109,40,2773,161.0366972,109,0,2733,121.0366972,109
backtracking,bySequentialBox,Random,41,0.013116,0.0414031,0.018323891,127,42,1133,197.8425197,127,1,1092,156.8425197,127
backtracking,bySequentialBox,Random,42,0.0132303,0.066398,0.018628778,125,45,1922,215.304,125,3,1880,173.304,125
backtracking,bySequentialBox,Random,43,0.0130435,0.0545262,0.019020428,140,44,1307,244.2,140,1,1264,201.2,140
backtracking,bySequentialBox,Random,44,0.013704,0.057925,0.020297307,111,52,1877,289.1351351,111,8,1833,245.1351351,111
backtracking,bySequentialBox,Random,45,0.0134,0.0978403,0.022732609,175,45,3213,374.2628571,175,0,3168,329.2628571,175
backtracking,bySequentialBox,Random,46,0.01346,0.1796775,0.027317849,110,51,6278,529.9909091,110,5,6232,483.9909091,110
backtracking,byZigZagBox,Sequential,36,0.0137439,0.0233974,0.0185477,3,40,404,162.3333333,3,4,368,126.3333333,3
backtracking,byZigZagBox,Sequential,37,0.0129214,0.0156544,0.013680809,11,37,85,56.45454545,11,0,48,19.45454545,11
backtracking,byZigZagBox,Sequential,38,0.0128466,0.0217358,0.015437523,22,40,277,97.77272727,22,2,239,59.77272727,22
backtracking,byZigZagBox,Sequential,39,0.0124747,0.0212632,0.014623012,67,39,467,84.7761194,67,0,428,45.7761194,67
backtracking,byZigZagBox,Sequential,40,0.0125748,0.0256429,0.014851028,109,40,432,95.52293578,109,0,392,55.52293578,109
backtracking,byZigZagBox,Sequential,41,0.0126394,0.027655,0.015597591,127,42,747,130.1338583,127,1,706,89.13385827,127
backtracking,byZigZagBox,Sequential,42,0.0122979,0.0378321,0.015424902,125,43,1272,140.648,125,1,1230,98.648,125
backtracking,byZigZagBox,Sequential,43,0.0126761,0.0446355,0.016451511,140,44,1432,176.85,140,1,1389,133.85,140
backtracking,byZigZagBox,Sequential,44,0.0127172,0.0720695,0.016802619,111,47,3249,201.7297297,111,3,3205,157.7297297,111
backtracking,byZigZagBox,Sequential,45,0.0123225,0.1265327,0.017747935,175,47,5282,233.3542857,175,2,5237,188.3542857,175
backtracking,byZigZagBox,Sequential,46,0.0129469,0.0809857,0.018975446,110,48,3490,296.9818182,110,2,3444,250.9818182,110
backtracking,byZigZagBox,Random,36,0.0144817,0.0189329,0.016446667,3,43,55,47.66666667,3,7,19,11.66666667,3
backtracking,byZigZagBox,Random,37,0.0132654,0.0191264,0.015971591,11,38,168,83.09090909,11,1,131,46.09090909,11
backtracking,byZigZagBox,Random,38,0.0133466,0.0187072,0.0152887,22,45,217,90.27272727,22,7,179,52.27272727,22
backtracking,byZigZagBox,Random,39,0.0128175,0.0329118,0.015844293,67,39,665,109.6716418,67,0,626,70.67164179,67
backtracking,byZigZagBox,Random,40,0.012826,0.0449563,0.016639392,109,41,1452,143.8348624,109,1,1412,103.8348624,109
backtracking,byZigZagBox,Random,41,0.0131884,0.0353042,0.018480147,127,43,875,196.8188976,127,2,834,155.8188976,127
backtracking,byZigZagBox,Random,42,0.0131277,0.0445383,0.017974467,125,42,1058,194.24,125,0,1016,152.24,125
backtracking,byZigZagBox,Random,43,0.0132601,0.0613047,0.020316319,140,44,1930,287.5642857,140,1,1887,244.5642857,140
backtracking,byZigZagBox,Random,44,0.0133162,0.1144713,0.022822245,111,48,4061,367.6756757,111,4,4017,323.6756757,111
backtracking,byZigZagBox,Random,45,0.0131322,0.0833452,0.022664654,175,46,2562,376.9485714,175,1,2517,331.9485714,175
backtracking,byZigZagBox,Random,46,0.0134628,0.0924025,0.025099584,110,60,2934,453.8818182,110,14,2888,407.8818182,110
backtracking,byCircularBox,Sequential,36,0.0125921,0.0306734,0.0202085,3,42,942,344.6666667,3,6,906,308.6666667,3
backtracking,byCircularBox,Sequential,37,0.0129855,0.0159095,0.014053255,11,46,110,69.54545455,11,9,73,32.54545455,11
backtracking,byCircularBox,Sequential,38,0.012644,0.0222363,0.015257918,22,42,229,84.22727273,22,4,191,46.22727273,22
backtracking,byCircularBox,Sequential,39,0.0126776,0.0212017,0.015019293,67,39,411,94.44776119,67,0,372,55.44776119,67
backtracking,byCircularBox,Sequential,40,0.0127288,0.0290754,0.015537893,109,40,578,118.6605505,109,0,538,78.66055046,109
backtracking,byCircularBox,Sequential,41,0.0127074,0.032088,0.016106234,127,44,739,146.8267717,127,3,698,105.8267717,127
backtracking,byCircularBox,Sequential,42,0.012741,0.0704154,0.016859218,125,43,2969,194.888,125,1,2927,152.888,125
backtracking,byCircularBox,Sequential,43,0.0129255,0.0496535,0.016807601,140,43,2009,207.4142857,140,0,1966,164.4142857,140
backtracking,byCircularBox,Sequential,44,0.012877,0.0755262,0.018009398,111,44,3399,259.4684685,111,0,3355,215.4684685,111
backtracking,byCircularBox,Sequential,45,0.0127418,0.0651605,0.018329891,175,46,2454,266.9542857,175,1,2409,221.9542857,175
backtracking,byCircularBox,Sequential,46,0.0130526,0.0820509,0.020244191,110,56,3370,377.9,110,10,3324,331.9,110
backtracking,byCircularBox,Random,36,0.0130065,0.0373057,0.021363567,3,46,920,337.6666667,3,10,884,301.6666667,3
backtracking,byCircularBox,Random,37,0.0133345,0.0176081,0.0145685,11,41,196,90.18181818,11,4,159,53.18181818,11
backtracking,byCircularBox,Random,38,0.013174,0.0199576,0.014853891,22,44,327,101.8181818,22,6,289,63.81818182,22
backtracking,byCircularBox,Random,39,0.0130755,0.0356225,0.015327815,67,41,900,124.4776119,67,2,861,85.47761194,67
backtracking,byCircularBox,Random,40,0.0132079,0.0492385,0.016578633,109,40,1544,174.4862385,109,0,1504,134.4862385,109
backtracking,byCircularBox,Random,41,0.0129439,0.0546344,0.018870519,127,41,1608,255.5748031,127,0,1567,214.5748031,127
backtracking,byCircularBox,Random,42,0.0131087,0.1320963,0.020313228,125,47,4481,314.608,125,5,4439,272.608,125
backtracking,byCircularBox,Random,43,0.012914,0.0682218,0.019585964,140,46,2155,292.2357143,140,3,2112,249.2357143,140
backtracking,byCircularBox,Random,44,0.0131029,0.2967545,0.023988014,111,45,10789,460.4144144,111,1,10745,416.4144144,111
backtracking,byCircularBox,Random,45,0.0131918,0.0997326,0.023770647,175,50,3515,456.9714286,175,5,3470,411.9714286,175
backtracking,byCircularBox,Random,46,0.0135142,0.1883855,0.028317869,110,55,7057,634.5454545,110,9,7011,588.5454545,110
backtracking,bySemiZigZagBox,Sequential,36,0.012898,0.0134644,0.013201367,3,40,63,52,3,4,27,16,3
backtracking,bySemiZigZagBox,Sequential,37,0.0128842,0.0136272,0.013274355,11,39,82,53.27272727,11,2,45,16.27272727,11
backtracking,bySemiZigZagBox,Sequential,38,0.0126285,0.0188977,0.014270336,22,39,388,118.4090909,22,1,350,80.40909091,22
backtracking,bySemiZigZagBox,Sequential,39,0.0126626,0.022649,0.01372461,67,39,626,86.08955224,67,0,587,47.08955224,67
backtracking,bySemiZigZagBox,Sequential,40,0.0126775,0.0296855,0.013841032,109,40,980,90.35779817,109,0,940,50.35779817,109
backtracking,bySemiZigZagBox,Sequential,41,0.0125193,0.0326433,0.014317165,127,41,1301,121.503937,127,0,1260,80.50393701,127
backtracking,bySemiZigZagBox,Sequential,42,0.0126426,0.0340065,0.014571479,125,42,1256,133.992,125,0,1214,91.992,125
backtracking,bySemiZigZagBox,Sequential,43,0.012614,0.0892178,0.015796167,140,43,4454,202.3785714,140,0,4411,159.3785714,140
backtracking,bySemiZigZagBox,Sequential,44,0.0128145,0.0472789,0.015181964,111,45,1938,166.972973,111,1,1894,122.972973,111
backtracking,bySemiZigZagBox,Sequential,45,0.0127438,0.0471275,0.016762091,175,48,2065,260.4171429,175,3,2020,215.4171429,175
backtracking,bySemiZigZagBox,Sequential,46,0.0125071,0.064764,0.017566128,110,47,2888,302.1363636,110,1,2842,256.1363636,110
backtracking,bySemiZigZagBox,Random,36,0.0142381,0.0155386,0.015063867,3,58,139,107.3333333,3,22,103,71.33333333,3
backtracking,bySemiZigZagBox,Random,37,0.0129857,0.0154712,0.014037345,11,38,147,70,11,1,110,33,11
backtracking,bySemiZigZagBox,Random,38,0.0133833,0.0224247,0.015700723,22,47,391,142.8181818,22,9,353,104.8181818,22
backtracking,bySemiZigZagBox,Random,39,0.0129432,0.0289013,0.015135384,67,42,673,113.8208955,67,3,634,74.82089552,67
backtracking,bySemiZigZagBox,Random,40,0.013062,0.0527099,0.015729789,109,40,1749,141.1926606,109,0,1709,101.1926606,109
backtracking,bySemiZigZagBox,Random,41,0.0132713,0.0642515,0.017609268,127,42,2067,210.2204724,127,1,2026,169.2204724,127
backtracking,bySemiZigZagBox,Random,42,0.0128295,0.038614,0.016992168,125,44,1108,192.344,125,2,1066,150.344,125
backtracking,bySemiZigZagBox,Random,43,0.0131597,0.1075421,0.019643231,140,43,3973,301.5428571,140,0,3930,258.5428571,140
backtracking,bySemiZigZagBox,Random,44,0.0130509,0.0875168,0.019180477,111,45,3058,281,111,1,3014,237,111
backtracking,bySemiZigZagBox,Random,45,0.0133674,0.1038677,0.022902566,175,53,3794,436.9314286,175,8,3749,391.9314286,175
backtracking,bySemiZigZagBox,Random,46,0.0133812,0.1851776,0.027100918,110,51,6856,601.2272727,110,5,6810,555.2272727,110
backtracking,byRandomBox,Sequential,36,0.0204367,0.0249077,0.022328,3,106,315,188.6666667,3,70,279,152.6666667,3
backtracking,byRandomBox,Sequential,37,0.0206607,0.0695272,0.030068873,11,90,2589,564.8181818,11,53,2552,527.8181818,11
backtracking,byRandomBox,Sequential,38,0.0190338,0.098407,0.029583236,22,54,3950,573.0454545,22,16,3912,535.0454545,22
backtracking,byRandomBox,Sequential,39,0.0190245,0.0948099,0.031247439,67,54,3791,644.1343284,67,15,3752,605.1343284,67
backtracking,byRandomBox,Sequential,40,0.0189854,0.1923985,0.040014796,109,43,8828,1085.256881,109,3,8788,1045.256881,109
backtracking,byRandomBox,Sequential,41,0.0192501,0.3978243,0.0570863,127,44,19195,1923.212598,127,3,19154,1882.212598,127
backtracking,byRandomBox,Sequential,42,0.0199177,0.3453741,0.062992686,125,68,16380,2201.488,125,26,16338,2159.488,125
backtracking,byRandomBox,Sequential,43,0.0200287,0.6462703,0.073698551,140,74,31268,2736.507143,140,31,31225,2693.507143,140
backtracking,byRandomBox,Sequential,44,0.0196185,1.3803902,0.119929541,111,97,64016,4984.342342,111,53,63972,4940.342342,111
backtracking,byRandomBox,Sequential,45,0.01948,0.9427576,0.129583156,175,59,45948,5504.125714,175,14,45903,5459.125714,175
backtracking,byRandomBox,Sequential,46,0.0204118,2.363441,0.231160883,110,73,117993,10526.69091,110,27,117947,10480.69091,110
backtracking,byRandomBox,Random,36,0.0193369,0.0784109,0.0404302,3,66,2224,833.6666667,3,30,2188,797.6666667,3
backtracking,byRandomBox,Random,37,0.0188625,0.1134201,0.035791582,11,38,3389,567.6363636,11,1,3352,530.6363636,11
backtracking,byRandomBox,Random,38,0.0210486,0.0834645,0.038903086,22,106,2478,714,22,68,2440,676,22
backtracking,byRandomBox,Random,39,0.0207493,0.1239221,0.041480645,67,76,3928,768.8208955,67,37,3889,729.8208955,67
backtracking,byRandomBox,Random,40,0.0195114,0.2291905,0.051970118,109,48,7628,1111.944954,109,8,7588,1071.944954,109
backtracking,byRandomBox,Random,41,0.0192629,0.3629042,0.068144783,127,41,12736,1741.637795,127,0,12695,1700.637795,127
backtracking,byRandomBox,Random,42,0.0205749,0.4533295,0.07879471,125,76,16123,2149.936,125,34,16081,2107.936,125
backtracking,byRandomBox,Random,43,0.0198603,1.1134141,0.099296379,140,53,41306,2985.078571,140,10,41263,2942.078571,140
backtracking,byRandomBox,Random,44,0.0219804,1.5015484,0.147493858,111,60,45488,4555.279279,111,16,45444,4511.279279,111
backtracking,byRandomBox,Random,45,0.0194589,1.2097931,0.16554897,175,61,44215,5274.462857,175,16,44170,5229.462857,175
backtracking,byRandomBox,Random,46,0.0226442,3.375417,0.328862846,110,121,110490,11374.26364,110,75,110444,11328.26364,110
